날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
2024-06-24(월),미트볼채소볶음(01)(02)(05)(06)(10)(12)(15)(16)(18),259.4kcal,파채소불고기(16),451.99kcal,닭고기김치찜(15)(18),207.14kcal,,,3152.03kcal
2024-06-24(월),돈육메추리알조림(01)(05)(06)(10),358.26kcal,매운콩나물무침(05),35.68kcal,타코야끼(01)(05)(06),363.16kcal,,,3152.03kcal
2024-06-24(월),배추김치,8.75kcal,배추김치,8.75kcal,석박지,5.4kcal,,,3152.03kcal
2024-06-24(월),"우유(백색우유(200ML,연간))(02)",65kcal,에너지바,188kcal,,,,,3152.03kcal
2024-06-25(화),쇠고기떡국(01)(05)(06)(16),178.85kcal,흑미밥,348.75kcal,밥,315kcal,,,3376.70kcal
2024-06-25(화),셀프참치마요주먹밥,406.13kcal,고기듬뿍돼지국밥(완)(04)(10)(16),779.38kcal,부대찌개(01)(02)(05)(06)(10)(18),38.8kcal,,,3376.70kcal
2024-06-25(화),쇠고기장조림(완)(05)(16),184.44kcal,비엔나소시지야채볶음(05)(06)(10)(12),192.67kcal,돼지고기채소볶음(10)(18),261.09kcal,,,3376.70kcal
2024-06-25(화),계란후라이(완)(01),85kcal,찐감자,58.74kcal,달걀장조림(01),146.87kcal,,,3376.70kcal
2024-06-25(화),가공우유(커피맛),122kcal,갈치김치조림,226.78kcal,배추김치,8.75kcal,,,3376.70kcal
2024-06-25(화),깍두기,11.2kcal,총각김치,12.25kcal,,,,,3376.70kcal
2024-06-25(화),"생수(500ML,후식)",0kcal,,,,,,,3376.70kcal
2024-06-26(수),밥,315kcal,하이라이스(12),402.82kcal,밀쌀밥,330.46kcal,,,3226.05kcal
2024-06-26(수),쇠고기무국(05)(06)(16),53.68kcal,캐슈넛멸치볶음(04)(14),112.48kcal,쇠고기샤브국(16),86.51kcal,,,3226.05kcal
2024-06-26(수),소시지채소볶음(12),219.78kcal,닭다리튀김,384.5kcal,떡갈비바볶음(05)(06)(10)(18),224.38kcal,,,3226.05kcal
2024-06-26(수),맛김,28kcal,무피클,12.72kcal,뿌링치즈볼(01)(02)(04)(06),763.5kcal,,,3226.05kcal
2024-06-26(수),오복채무침,11.71kcal,배추김치,8.75kcal,어묵야채조림,145.1kcal,,,3226.05kcal
2024-06-26(수),배추김치,8.75kcal,수박,44.16kcal,배추김치,8.75kcal,,,3226.05kcal
2024-06-26(수),"우유(백색우유(200ML,연간))(02)",65kcal,,,,,,,3226.05kcal
2024-06-27(목),밥,315kcal,찹쌀밥,350kcal,밥,315kcal,,,3235.44kcal
2024-06-27(목),종합어묵국(05)(06),139.59kcal,닭장각곰탕(02)(16),16.96kcal,버섯쇠고기찌개(05)(06)(16),46.11kcal,,,3235.44kcal
2024-06-27(목),스팸짜글이(06)(10),182.78kcal,군만두&간장(02)(05)(06)(10)(16),279.57kcal,애호박나물(18),66.91kcal,,,3235.44kcal
2024-06-27(목),오징어볶음(17),185.12kcal,한식잡채,243.4kcal,명엽채볶음,83.1kcal,,,3235.44kcal
2024-06-27(목),맛김,28kcal,겉절이김치,0kcal,"모듬강정(김말이,닭,새우)(05)(06)(09)",880.4kcal,,,3235.44kcal
2024-06-27(목),가공우유(바나나맛)(02),82.5kcal,,,배추김치,8.75kcal,,,3235.44kcal
2024-06-27(목),총각김치,12.25kcal,,,,,,,3235.44kcal
2024-06-02(일),모듬장조림(01)(10),214.4kcal,쇠고기버섯볶음(16)(18),191.84kcal,진미채무침(완)(06)(17),83.4kcal,,,2335.05kcal
2024-06-02(일),배추김치,8.75kcal,깍두기,11.2kcal,양배추쌈&쌈장,55.76kcal,,,2335.05kcal
2024-06-02(일),"우유(백색우유(200ML,연간))(02)",65kcal,,,배추김치,8.75kcal,,,2335.05kcal
2024-06-03(월),밥,315kcal,찹쌀밥,350kcal,밥,315kcal,,,2467.29kcal
2024-06-03(월),오징어무국(05)(06)(17),66.01kcal,부대찌개(01)(02)(05)(06)(10)(18),38.8kcal,소갈비탕(완)(05)(06)(16),148.5kcal,,,2467.29kcal
2024-06-03(월),콩부각멸치볶음(05)(06),130.82kcal,돼지갈비찜(완),133.19kcal,명엽채볶음,83.1kcal,,,2467.29kcal
2024-06-03(월),떡갈비야채볶음(02)(05)(06)(10)(16)(18),255.36kcal,콩나물무침(05),34.96kcal,비엔나소시지구이&케첩(05)(06)(10)(12),179.1kcal,,,2467.29kcal
2024-06-03(월),맛김,28kcal,겉절이김치,0kcal,가츠오달걀말이(완)(01)(05),141.95kcal,,,2467.29kcal
2024-06-03(월),배추김치,8.75kcal,,,배추김치,8.75kcal,,,2467.29kcal
2024-06-03(월),떠먹는 토핑형 발효유(02),165kcal,,,,,,,2467.29kcal
2024-06-03(월),"우유(백색우유(200ML,연간))(02)",65kcal,,,,,,,2467.29kcal
2024-06-04(화),간장계란밥(01),454.06kcal,밥,315kcal,흑미밥,348.75kcal,,,3878.92kcal
2024-06-04(화),닭곰탕(02)(15)(16),113.48kcal,고기듬뿍순댓국(05)(06)(09)(10)(16),345.93kcal,돈코츠숙주국(10),152.63kcal,,,3878.92kcal
2024-06-04(화),햄감자채볶음(10)(18),172.45kcal,볼어묵볶음(05)(06)(18),181.95kcal,감자고로케(05)(06)(12),241.32kcal,,,3878.92kcal
2024-06-04(화),양념깻잎,9kcal,모듬버섯볶음(18),29.24kcal,치킨너겟소스(01)(02)(05)(06)(12)(15)(16)(18),875kcal,,,3878.92kcal
2024-06-04(화),가공우유(딸기맛)(02),125kcal,삼치구이간장(07),214.96kcal,카레소스,286kcal,,,3878.92kcal
2024-06-04(화),겉절이김치,0kcal,석박지,5.4kcal,배추김치,8.75kcal,,,3878.92kcal
2024-06-04(화),"생수(500ML,후식)",0kcal,,,,,,,3878.92kcal
2024-06-05(수),밥,315kcal,스팸마요덮밥(01)(02)(05)(06)(10),999.32kcal,밀쌀밥,330.46kcal,,,4263.33kcal
2024-06-05(수),물만둣국(01)(02)(05)(06)(10)(16),170.97kcal,팽이버섯된장국(05)(06),26.79kcal,게살계란탕(01)(05)(06)(18),128.49kcal,,,4263.33kcal
2024-06-05(수),오리햄구이쌈무(01)(05)(06)(13),248.25kcal,새우꼬치(06)(09),505.95kcal,크림새우(05)(06)(09),679.1kcal,,,4263.33kcal
2024-06-05(수),연두부양념장(05),193.25kcal,무말랭이무침(완),24kcal,계란후라이(완)(01),85kcal,,,4263.33kcal
2024-06-05(수),배추김치,8.75kcal,겉절이김치,0kcal,단무지,7.2kcal,,,4263.33kcal
2024-06-05(수),"생수(500ML,후식)",0kcal,이온음료,60kcal,짜장소스(05)(06)(10),415.8kcal,,,4263.33kcal
2024-06-05(수),"우유(백색우유(200ML,연간))(02)",65kcal,,,,,,,4263.33kcal
2024-06-06(목),밥,315kcal,현미밥,348.15kcal,참치야채비빔밥,452.64kcal,,,2383.79kcal
2024-06-06(목),쇠고기무국(05)(06)(16),53.68kcal,돼지고기김치찌개,18.17kcal,부추달걀국(01)(05)(06),78.86kcal,,,2383.79kcal
2024-06-06(목),미트볼토마토소스조림(01)(02)(05)(06)(10)(12)(15)(16),305.69kcal,궁중소고기떡볶음(16),160.32kcal,떡갈비바볶음(05)(06)(10)(18),224.38kcal,,,2383.79kcal
2024-06-06(목),시금치무침(05)(06),26.29kcal,숙주나물무침(05)(06),23.47kcal,진미채간장볶음(완)(17),1.79kcal,,,2383.79kcal
2024-06-06(목),가공우유(초코맛)(02),120kcal,약과(06),237kcal,겉절이김치,0kcal,,,2383.79kcal
2024-06-06(목),배추김치,8.75kcal,갓김치,9.6kcal,,,,,2383.79kcal
2024-06-06(목),"생수(500ML,후식)",0kcal,,,,,,,2383.79kcal
2024-06-07(금),밥,315kcal,밀쌀밥,330.46kcal,후리카케밥(소량)(01)(05)(06),181.67kcal,,,4094.44kcal
2024-06-07(금),쇠고기두부탕국(05)(06)(16),44.88kcal,치킨가스소스(01)(05)(06)(10)(12)(15)(16)(18),963.13kcal,종합어묵국(05)(06),139.59kcal,,,4094.44kcal
2024-06-07(금),돈육메추리알조림(01)(05)(06)(10),358.26kcal,파인애플구이,40kcal,떡볶이,170.95kcal,,,4094.44kcal
2024-06-07(금),어묵야채조림,145.1kcal,포테이토크림스프(05)(06),300.65kcal,모듬튀김(01)(05)(06)(15),845.15kcal,,,4094.44kcal
2024-06-07(금),깍두기,11.2kcal,깍두기,11.2kcal,순대찜(05)(10),165kcal,,,4094.44kcal
2024-06-07(금),"우유(백색우유(200ML,연간))(02)",65kcal,단백질 음료,,단무지,7.2kcal,,,4094.44kcal
2024-06-08(토),돈육탄두리또띠아(10),378.14kcal,닭고기또띠아롤,529.75kcal,보리밥,345.8kcal,,,3124.16kcal
2024-06-08(토),모듬피클,37.1kcal,비프찹스테이크(05)(16),576.89kcal,쇠고기육개장(01)(05)(16),114.01kcal,,,3124.16kcal
2024-06-08(토),모닝빵딸기쨈(01)(02)(05)(06),104kcal,구운야채,12.6kcal,애호박베이컨볶음(02)(05)(10)(18),87.89kcal,,,3124.16kcal
2024-06-08(토),에그샐러드(완)(01)(05),103.5kcal,시리얼(1),240kcal,닭매운찜(15),214.28kcal,,,3124.16kcal
2024-06-08(토),멜론(여름),72kcal,비스킷슈(01)(02)(06),232kcal,깍두기,11.2kcal,,,3124.16kcal
2024-06-08(토),"우유(백색우유(200ML,연간))(02)",65kcal,,,,,,,3124.16kcal
2024-06-09(일),쇠고기떡국(01)(05)(06)(16),178.85kcal,현미밥,348.15kcal,상추제육덮밥(10),579.42kcal,,,2838.35kcal
2024-06-09(일),밥,315kcal,순두부찌개(01)(05)(06)(18),94.76kcal,팽이버섯장국(01)(05)(06),101.67kcal,,,2838.35kcal
2024-06-09(일),소시지채소볶음(12),219.78kcal,스팸두부조림(05)(06)(10),233.66kcal,떡갈비구이(01)(05),357.5kcal,,,2838.35kcal
2024-06-09(일),쇠고기장조림(완)(05)(16),184.44kcal,시금치고추장무침,27.66kcal,콩나물무침(05),34.96kcal,,,2838.35kcal
2024-06-09(일),배추김치,8.75kcal,겉절이김치,0kcal,배추김치,8.75kcal,,,2838.35kcal
2024-06-09(일),"우유(백색우유(200ML,연간))(02)",65kcal,혼합견과류(02)(14),80kcal,,,,,2838.35kcal
2024-06-10(월),밥,315kcal,찹쌀밥,350kcal,밥,315kcal,,,2623.21kcal
2024-06-10(월),참치김치찌개(05),91.46kcal,들깨미역국(05)(06),36.73kcal,쇠고기샤브국(16),86.51kcal,,,2623.21kcal
2024-06-10(월),닭가슴살채소볶음(18),95.54kcal,오리불고기(18),893.47kcal,돼지간장불고기(10)(18),222.04kcal,,,2623.21kcal
2024-06-10(월),계란말이(01)(12),81.2kcal,쌈무(13),5.25kcal,오복채무침,11.71kcal,,,2623.21kcal
2024-06-10(월),김가루,8.6kcal,배추김치,8.75kcal,배추김치,8.75kcal,,,2623.21kcal
2024-06-10(월),깍두기,11.2kcal,,,대추방울토마토(생산기)(12),17kcal,,,2623.21kcal
2024-06-10(월),"우유(백색우유(200ML,연간))(02)",65kcal,,,,,,,2623.21kcal
2024-06-10(월),"생수(500ML,후식)",0kcal,,,,,,,2623.21kcal
2024-06-11(화),소시지구이(01)(05)(12),214.9kcal,흑미밥,348.75kcal,닭순살간장덮밥(15),580.29kcal,,,3443.25kcal
2024-06-11(화),계란후라이(완)(01),85kcal,부대찌개(완)(02)(05)(09)(10)(15)(18),288kcal,얼큰쇠고기무국(05)(06)(16),62.33kcal,,,3443.25kcal
2024-06-11(화),햄치즈샌드위치(01)(02)(06)(10),612.83kcal,캐슈넛콩튀각조림(04)(05)(06)(14),81.69kcal,떡갈비야채볶음(02)(05)(06)(10)(16)(18),255.36kcal,,,3443.25kcal
2024-06-11(화),시리얼(2),153.2kcal,양배추쌈&쌈장,55.76kcal,마늘쫑무침,23.6kcal,,,3443.25kcal
2024-06-11(화),감자샐러드(완)(01)(02),45kcal,고기된장(05)(06)(10),337.79kcal,배추김치,8.75kcal,,,3443.25kcal
2024-06-11(화),"우유(백색우유(200ML,연간))(02)",65kcal,겉절이김치,0kcal,,,,,3443.25kcal
2024-06-11(화),,,과일젤리,225kcal,,,,,3443.25kcal
2024-06-12(수),밥,315kcal,삼색나물비빔밥(05)(06),496.03kcal,밀쌀밥,330.46kcal,,,2957.23kcal
2024-06-12(수),황태채국(01)(05)(06),68.52kcal,차돌된장찌개(완)(05)(06)(16),184.09kcal,햄듬뿍찌개(01)(02)(05)(06)(10)(18),95.45kcal,,,2957.23kcal
2024-06-12(수),차슈버섯볶음(18),302kcal,소떡소떡,417.45kcal,소불고기당면볶음(16),332.39kcal,,,2957.23kcal
2024-06-12(수),햄감자채볶음(10)(18),172.45kcal,계란후라이(완)(01),85kcal,무말랭이무침(완),24kcal,,,2957.23kcal
2024-06-12(수),깍두기,11.2kcal,소고기고추장,49.44kcal,배추김치,8.75kcal,,,2957.23kcal
2024-06-12(수),"㈜케이헬스바이오, 프로루틴단백질음료 코코아, 250mL",,겉절이김치,0kcal,,,,,2957.23kcal
2024-06-12(수),"우유(백색우유(200ML,연간))(02)",65kcal,,,,,,,2957.23kcal
2024-06-13(목),밥,315kcal,보리밥,345.8kcal,옛날도시락비빔밥(01)(06)(10),595.69kcal,,,3817.24kcal
2024-06-13(목),김치어묵국(05)(06),192.9kcal,바지락수제비(05)(06)(09)(18),112.09kcal,얼큰콩나물국(05)(06),21.26kcal,,,3817.24kcal
2024-06-13(목),베이컨스크램블에그(01)(05)(06)(10),183.51kcal,배추김치볶음(18),21.84kcal,깐풍육(05)(06)(10),923.82kcal,,,3817.24kcal
2024-06-13(목),새우살야채볶음(09)(12)(18),202.41kcal,돈가스새우튀김소스(01)(02)(05)(06)(09)(10)(12)(15)(16)(18),788.42kcal,살사푸실리샐러드(완)(05)(06)(12)(16),0.85kcal,,,3817.24kcal
2024-06-13(목),가공우유(바나나맛)(02),82.5kcal,깍두기,11.2kcal,깍두기,11.2kcal,,,3817.24kcal
2024-06-13(목),배추김치,8.75kcal,,,,,,,3817.24kcal
2024-06-13(목),"생수(500ML,후식)",0kcal,,,,,,,3817.24kcal
2024-06-14(금),밥,315kcal,찹쌀밥,350kcal,밥(소량),180kcal,,,3928.40kcal
2024-06-14(금),나가사끼짬뽕국(05)(06)(08)(09)(10)(15)(16)(17)(18),139.41kcal,명태매운탕(05)(06),80.37kcal,사골떡만둣국(01)(05)(06)(10)(16),818.88kcal,,,3928.40kcal
2024-06-14(금),볼어묵볶음(05)(06)(18),181.95kcal,돼지고기김치찜(10),497.92kcal,동그랑땡케첩(06)(10)(12),116.2kcal,,,3928.40kcal
2024-06-14(금),모듬장조림(01)(10),214.4kcal,계란찜(01),74.9kcal,돼지고기육전,290.59kcal,,,3928.40kcal
2024-06-14(금),배추김치,8.75kcal,오징어젓무침(17),46.37kcal,깻잎전(완)(01)(05)(06)(10),230kcal,,,3928.40kcal
2024-06-14(금),"우유(백색우유(200ML,연간))(02)",65kcal,갓김치,9.6kcal,참나물무침,30.31kcal,,,3928.40kcal
2024-06-14(금),,,,,배추김치,8.75kcal,,,3928.40kcal
2024-06-14(금),,,,,"아이스크림 콘,완제품(02)",270kcal,,,3928.40kcal
2024-06-15(토),구운야채,12.6kcal,스팸김치볶음밥(완)(05)(10),941kcal,보리밥,345.8kcal,,,2863.05kcal
2024-05-20(월),맛김,0kcal,겉절이김치,0kcal,카레소스,286kcal,,,2979.04kcal
2024-05-20(월),갓김치,9.6kcal,"딸기파이패스츄리, 300g",74.2kcal,양배추샐러드(케요)(01)(12),60.61kcal,,,2979.04kcal
2024-05-20(월),"우유(백색우유(200ML,연간))(02)",65kcal,,,배추김치,8.75kcal,,,2979.04kcal
2024-05-21(화),흑미밥,345kcal,스팸김치볶음밥(완)(05)(10),916kcal,닭순살간장덮밥(15),578.87kcal,,,3732.88kcal
2024-05-21(화),소고기된장찌개(05)(06)(16),71.6kcal,유부장국(01)(05)(06),68.19kcal,김치물만둣국(05)(06)(10)(16)(18),120.93kcal,,,3732.88kcal
2024-05-21(화),고추참치볶음(05)(12)(16)(18),139.09kcal,치즈돈가스&소스(05)(06)(10)(12)(15)(16),670.85kcal,떡갈비야채볶음(02)(05)(06)(10)(16)(18),272.08kcal,,,3732.88kcal
2024-05-21(화),비엔나소시지구이&케첩(06)(10)(12),175kcal,미트소스치즈달걀말이(완)(01)(02)(10)(12)(16),201.05kcal,시금치무침(05)(06),23.52kcal,,,3732.88kcal
2024-05-21(화),가공우유(커피맛),122kcal,깍두기,11.2kcal,배추김치,8.75kcal,,,3732.88kcal
2024-05-21(화),배추김치,8.75kcal,,,,,,,3732.88kcal
2024-05-21(화),"생수(500ML,후식)",0kcal,,,,,,,3732.88kcal
2024-05-22(수),햄치즈샌드위치(01)(02)(06)(10)(12),590.39kcal,밥(소량),180kcal,현미밥,344.52kcal,,,4380.13kcal
2024-05-22(수),포테이토크림스프(05)(06),300.65kcal,차돌볶음우동(06)(16)(18),613.89kcal,얼큰콩나물국(05)(06)(16),22.95kcal,,,4380.13kcal
2024-05-22(수),와플소스(06),231.6kcal,팽이버섯장국(01)(05)(06),101.63kcal,삼겹보쌈(05)(06)(10)(15),801.36kcal,,,4380.13kcal
2024-05-22(수),닭가슴살파인애플샐러드(01)(05),227.06kcal,치킨가라아게소스(05)(06)(15),645.5kcal,쌈무(13),5.25kcal,,,4380.13kcal
2024-05-22(수),"우유(백색우유(200ML,연간))(02)",65kcal,꼬들단무지(13),16.4kcal,모듬쌈쌈장,21.82kcal,,,4380.13kcal
2024-05-22(수),,,양배추샐러드(참깨드레싱),152.11kcal,겉절이김치,0kcal,,,4380.13kcal
2024-05-22(수),,,이온음료,60kcal,,,,,4380.13kcal
2024-05-23(목),밥,315kcal,밀쌀밥,330.37kcal,밥,315kcal,,,2867.43kcal
2024-05-23(목),얼큰쇠고기무국(05)(06)(16),71.23kcal,시래기등뼈감자탕(05)(06)(09)(10)(16),415.42kcal,쇠고기육개장(01)(05)(16),113.96kcal,,,2867.43kcal
2024-05-23(목),감자채볶음(16),82.83kcal,맛김,0kcal,고구마떡닭갈비(15),330.56kcal,,,2867.43kcal
2024-05-23(목),소시지채소볶음(06)(10)(12),193.77kcal,갈치구이(06),442.65kcal,코울슬로,127.07kcal,,,2867.43kcal
2024-05-23(목),가공우유(바나나맛)(02),82.5kcal,상추부추무침,18.37kcal,깍두기,11.2kcal,,,2867.43kcal
2024-05-23(목),배추김치,8.75kcal,배추김치,8.75kcal,,,,,2867.43kcal
2024-05-23(목),"생수(500ML,후식)",0kcal,,,,,,,2867.43kcal
2024-05-24(금),밥,315kcal,보리밥,342.64kcal,후리카케밥(소량)(01)(05)(06),181.67kcal,,,3176.03kcal
2024-05-24(금),쇠고기두부탕국(05)(06)(16),61.65kcal,대구지리탕(05)(06)(16),67.45kcal,매운어묵탕(05)(06)(09)(16),87.49kcal,,,3176.03kcal
2024-05-24(금),캐슈넛멸치볶음(04)(14),113.05kcal,등갈비김치찜(10)(16),442.98kcal,로제떡볶이(02)(05)(06)(10),253.5kcal,,,3176.03kcal
2024-05-24(금),쇠고기장조림(완)(05)(16),104.5kcal,계란후라이(완)(01),72.5kcal,모듬튀김(01)(05)(06)(15),720.15kcal,,,3176.03kcal
2024-05-24(금),총각김치,12.25kcal,김가루,8.6kcal,회오리핫도그(01)(02)(04)(05)(06)(10)(12),315kcal,,,3176.03kcal
2024-05-24(금),"우유(백색우유(200ML,연간))(02)",65kcal,석박지,5.4kcal,단무지,7.2kcal,,,3176.03kcal
2024-05-24(금),,,,,제로콜라,0kcal,,,3176.03kcal
2024-05-25(토),셀프주먹밥,179.65kcal,불고기버거(불고기베이컨버거)(01)(02)(06)(12),743.53kcal,밀쌀밥,330.37kcal,,,2552.74kcal
2024-05-25(토),갈릭치킨스테이크(05)(06)(15)(18),307.35kcal,치킨스테이크(05)(06)(15)(18),309.55kcal,쇠고기무국(05)(06)(16),53.56kcal,,,2552.74kcal
2024-05-25(토),감자샐러드(완)(01)(02),45kcal,구슬치즈샐러드(05)(06)(10)(18),145.85kcal,애호박나물(18),54kcal,,,2552.74kcal
2024-05-25(토),시리얼(1)(05)(06),68.8kcal,모듬피클,37.1kcal,스팸김치볶음(06)(10),157.58kcal,,,2552.74kcal
2024-05-25(토),"우유(백색우유(200ML,연간))(02)",65kcal,,,김자반,44.2kcal,,,2552.74kcal
2024-05-25(토),,,,,깍두기,11.2kcal,,,2552.74kcal
2024-05-26(일),셀프참치마요주먹밥(01),432.59kcal,검은콩밥,350.65kcal,전투식량,1300kcal,,,3466.61kcal
2024-05-26(일),황태채국(01)(05)(06),66.23kcal,오징어무국(05)(06)(17),66.66kcal,떡갈비야채볶음(02)(05)(06)(10)(16)(18),272.08kcal,,,3466.61kcal
2024-05-26(일),볼어묵볶음(05)(06)(18),171.63kcal,매운돼지갈비찜(02)(06)(10),447.06kcal,진미채무침(완)(06)(17),83.4kcal,,,3466.61kcal
2024-05-26(일),애호박새우볶음(09)(18),92.84kcal,숙주나물무침(05)(06),20.7kcal,김가루,8.6kcal,,,3466.61kcal
2024-05-26(일),연근조림(18),60.47kcal,배추김치,8.75kcal,배추김치,8.75kcal,,,3466.61kcal
2024-05-26(일),깍두기,11.2kcal,써니텐오렌지향 250ml,,,,,,3466.61kcal
2024-05-26(일),"우유(백색우유(200ML,연간))(02)",65kcal,,,,,,,3466.61kcal
2024-05-27(월),밥,315kcal,찹쌀밥,346kcal,밥,315kcal,,,2963.79kcal
2024-05-27(월),닭곰탕(02)(15)(16),115.01kcal,쇠고기미역국(05)(06)(16),48.55kcal,부추달걀국(01)(05)(06)(16),80.54kcal,,,2963.79kcal
2024-05-27(월),팽이버섯베이컨볶음(02)(05)(10)(18),53.98kcal,오리불고기(18),579.65kcal,돈육춘장소스볶음(18),201.31kcal,,,2963.79kcal
2024-05-27(월),달걀장조림(01),89.3kcal,콩나물무침(05),33.28kcal,탕수육(06)(10),667.01kcal,,,2963.79kcal
2024-05-27(월),배추김치,8.75kcal,깻잎쌈무(13),8.46kcal,배추김치,8.75kcal,,,2963.79kcal
2024-05-27(월),"우유(백색우유(200ML,연간))(02)",65kcal,깍두기,11.2kcal,대추방울토마토(생산기)(12),17kcal,,,2963.79kcal
2024-05-28(화),간장계란밥(01),441.32kcal,흑미밥,345kcal,밥,315kcal,,,2985.95kcal
2024-05-28(화),참치두부찌개(05)(06)(16),118.58kcal,순두부해물찌개(01)(05)(06)(17)(18),179.86kcal,돼지고기짜글이(05)(06)(10),72.92kcal,,,2985.95kcal
2024-05-28(화),햄감자채볶음(10)(18),163.21kcal,돈가스치즈생선가스(01)(05)(06)(10)(12)(15)(16)(18),856.72kcal,쇠고기버섯볶음(16)(18),198.34kcal,,,2985.95kcal
2024-05-28(화),양념깻잎,9kcal,콘치즈버터구이(02),122.52kcal,오복채무침,15.5kcal,,,2985.95kcal
2024-05-28(화),겉절이김치,0kcal,실곤약야채무침,44.53kcal,총각김치,12.25kcal,,,2985.95kcal
2024-05-28(화),"생수(500ML,후식)",0kcal,깍두기,11.2kcal,,,,,2985.95kcal
2024-05-28(화),,,혼합견과류(02)(14),80kcal,,,,,2985.95kcal
2024-05-29(수),밥,315kcal,삼색나물비빔밥(05)(06),467.18kcal,현미밥,344.52kcal,,,2767.25kcal
2024-05-29(수),종합어묵국(05)(06),124.68kcal,유부장국(01)(05)(06),68.19kcal,물만둣국(01)(02)(05)(06)(10)(16)(18),154.02kcal,,,2767.25kcal
2024-05-29(수),오징어볶음(17),164.86kcal,훈제닭다리(15),574.6kcal,쇠고기불고기(16),293.15kcal,,,2767.25kcal
2024-05-29(수),무생채,18.98kcal,계란후라이(완)(01),72.5kcal,오이고추장무침,13.57kcal,,,2767.25kcal
2024-05-29(수),배추김치,8.75kcal,소고기고추장,40.48kcal,모듬쌈쌈장,21.82kcal,,,2767.25kcal
2024-05-29(수),"우유(백색우유(200ML,연간))(02)",65kcal,깍두기,11.2kcal,배추김치,8.75kcal,,,2767.25kcal
2024-05-29(수),,,단백질 음료,,,,,,2767.25kcal
2024-05-30(목),밥,315kcal,밥,315kcal,밀쌀밥,330.37kcal,,,3080.18kcal
2024-05-30(목),버섯쇠고기찌개(05)(06)(16),60.66kcal,고기듬뿍돼지국밥(완)(04)(10)(16),778.92kcal,스팸짜글이(06)(10)(16),136.94kcal,,,3080.18kcal
2024-05-30(목),베이컨버섯볶음(02)(05)(10)(18),64.59kcal,코다리해물찜(05)(08)(09)(16)(17)(18),226.33kcal,미트볼토마토소스조림(01)(02)(05)(06)(10)(12)(15)(16),305.69kcal,,,3080.18kcal
2024-05-30(목),맛김,0kcal,부추무침,15.41kcal,시금치무침(05)(06),23.52kcal,,,3080.18kcal
2024-05-30(목),진미채무침(완)(06)(17),83.4kcal,약과(06),237kcal,깍두기,11.2kcal,,,3080.18kcal
2024-05-30(목),가공우유(초코맛)(02),120kcal,석박지,5.4kcal,"상온주스, 산천애아삭소리사과애플즙, 산천애아삭소리사과애플즙, 100mL",42kcal,,,3080.18kcal
2024-05-30(목),배추김치,8.75kcal,,,,,,,3080.18kcal
2024-05-31(금),밥,315kcal,보리밥,342.64kcal,밥,315kcal,,,3538.13kcal
2024-05-31(금),새우계란탕(01)(05)(06)(09)(16),96.47kcal,꽃게된장찌개(05)(06)(08)(16),75.14kcal,사골곰탕(완)(05)(06)(16),879.21kcal,,,3538.13kcal
2024-05-31(금),모듬장조림(01)(10),181.13kcal,닭다리구이(15),239.09kcal,동그랑땡케첩(01)(05)(06)(10)(12)(15),237.5kcal,,,3538.13kcal
2024-05-31(금),양념깻잎,9kcal,콘샐러드(완)(01)(05),45kcal,돼지고기육전,406.92kcal,,,3538.13kcal
2024-05-31(금),배추김치,8.75kcal,양배추샐러드(케요)(01)(12),60.61kcal,참나물무침,27.92kcal,,,3538.13kcal
2024-05-31(금),"우유(백색우유(200ML,연간))(02)",65kcal,배추김치,8.75kcal,겉절이김치,0kcal,,,3538.13kcal
2024-05-31(금),,,,,과일젤리,225kcal,,,3538.13kcal
2024-06-01(토),차돌깍두기볶음밥(완)(16),774kcal,셀프주먹밥,182.29kcal,보리밥,345.8kcal,,,3650.76kcal
2024-06-01(토),LA갈비구이,262.86kcal,시원한묵사발,258.76kcal,쇠고기미역국(05)(06)(16),37.59kcal,,,3650.76kcal
2024-06-01(토),쌈무(13),5.25kcal,삼겹살구이(10),1025.56kcal,고구마떡닭갈비(15),316.47kcal,,,3650.76kcal
2024-06-01(토),과일젤리,225kcal,명이나물절임(05)(06),160.5kcal,매운콩나물무침(05),35.68kcal,,,3650.76kcal
2024-06-01(토),,,배추김치,8.75kcal,총각김치,12.25kcal,,,3650.76kcal
2024-06-02(일),밥,315kcal,현미밥,348.15kcal,밥,315kcal,,,2335.05kcal
2024-06-02(일),황태채국(01)(05)(06),68.52kcal,닭가슴살떡국(02)(05)(06)(16),169.12kcal,맑은콩나물국(05)(06),30.48kcal,,,2335.05kcal
2024-06-02(일),베이컨감자채볶음(05)(06)(10),132.11kcal,애호박나물(18),66.91kcal,돼지불고기(10),250.66kcal,,,2335.05kcal
2024-05-08(수),셀프참치마요주먹밥(01),432.59kcal,맑은콩나물국(05)(06)(16),32.16kcal,부대찌개(02)(05)(06)(10)(15)(16)(18),111.03kcal,,,2892.19kcal
2024-05-08(수),쇠고기장조림(완)(05)(16),104.5kcal,마늘간장치킨(06)(15),719.51kcal,소불고기당면볶음(16),324.54kcal,,,2892.19kcal
2024-05-08(수),마늘쫑무침,35.4kcal,양배추샐러드(케요)(01)(12),60.61kcal,오이고추장무침,13.57kcal,,,2892.19kcal
2024-05-08(수),깍두기,11.2kcal,무피클,12.72kcal,깍두기,11.2kcal,,,2892.19kcal
